frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp
188,data/frames/game_6/frame_000188.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
189,data/frames/game_6/frame_000189.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
190,data/frames/game_6/frame_000190.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
191,data/frames/game_6/frame_000191.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
192,data/frames/game_6/frame_000192.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
193,data/frames/game_6/frame_000193.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
194,data/frames/game_6/frame_000194.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
195,data/frames/game_6/frame_000195.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
196,data/frames/game_6/frame_000196.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
197,data/frames/game_6/frame_000197.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
198,data/frames/game_6/frame_000198.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
199,data/frames/game_6/frame_000199.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
200,data/frames/game_6/frame_000200.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
201,data/frames/game_6/frame_000201.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
202,data/frames/game_6/frame_000202.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
203,data/frames/game_6/frame_000203.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
204,data/frames/game_6/frame_000204.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
205,data/frames/game_6/frame_000205.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
206,data/frames/game_6/frame_000206.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
207,data/frames/game_6/frame_000207.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
208,data/frames/game_6/frame_000208.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
209,data/frames/game_6/frame_000209.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
210,data/frames/game_6/frame_000210.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
211,data/frames/game_6/frame_000211.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
